text,label
A field team in Ahmedabad confirmed progress on waste management with support from climate research center.,0
The climate research center released updated figures on digital literacy for the month of March.,0
A fabricated report insists that national science agency proved digital literacy was created by radio towers.,1
The education board announced a bus modernization program after reviewing reports from Hyderabad.,0
Social media users falsely claim a bus modernization program will let citizens levitate heavy vehicles overnight.,1
A viral post claims that public transport usage can instantly change human DNA using magnetic bracelets.,1
A viral post claims that air quality can instantly erase memory in seconds using silver water.,1
236 researchers from agriculture institute published a study about digital literacy in Bengaluru.,0
An anonymous blog says Bengaluru is hiding magnetic bracelets that will make people immortal.,1
An anonymous blog says Ahmedabad is hiding silver water that will levitate heavy vehicles.,1
The public safety office announced a bus modernization program after reviewing reports from Delhi.,0
The city council announced a public health campaign after reviewing reports from Mumbai.,0
An anonymous blog says Kolkata is hiding radio towers that will erase memory in seconds.,1
The transport department announced a public health campaign after reviewing reports from Mumbai.,0
An anonymous blog says Mumbai is hiding secret satellites that will erase memory in seconds.,1
The climate research center announced a school scholarship plan after reviewing reports from Pune.,0
Officials in Kolkata approved a school scholarship plan following a public consultation.,0
A fabricated report insists that public safety office proved water conservation was created by radio towers.,1
A viral post claims that vaccination coverage can instantly control the weather using secret satellites.,1
The health ministry announced a crop insurance revision after reviewing reports from Pune.,0
A conspiracy article says mystery frequency boxes above Hyderabad can secretly change human DNA.,1
Social media users falsely claim a flood relief package will let citizens change human DNA overnight.,1
Officials in Hyderabad approved a crop insurance revision following a public consultation.,0
The agriculture institute released updated figures on air quality for the month of February.,0
A fabricated report insists that education board proved public transport usage was created by silver water.,1
Officials in Delhi approved a flood relief package following a public consultation.,0
A field team in Chennai confirmed progress on air quality with support from health ministry.,0
The climate research center announced a public health campaign after reviewing reports from Delhi.,0
The public safety office announced a crop insurance revision after reviewing reports from Chennai.,0
A viral post claims that rainfall patterns can instantly change human DNA using secret satellites.,1
A fabricated report insists that transport department proved air quality was created by secret satellites.,1
The education board announced a renewable energy guideline after reviewing reports from Hyderabad.,0
A conspiracy article says hidden moon crystals above Delhi can secretly levitate heavy vehicles.,1
A viral post claims that vaccination coverage can instantly change human DNA using silver water.,1
The national science agency announced a school scholarship plan after reviewing reports from Ahmedabad.,0
An anonymous blog says Bengaluru is hiding hidden moon crystals that will control the weather.,1
47 researchers from public safety office published a study about digital literacy in Pune.,0
A field team in Kolkata confirmed progress on rainfall patterns with support from education board.,0
Social media users falsely claim a bus modernization program will let citizens make people immortal overnight.,1
An anonymous blog says Ahmedabad is hiding magnetic bracelets that will levitate heavy vehicles.,1
107 researchers from health ministry published a study about vaccination coverage in Mumbai.,0
The climate research center announced a bus modernization program after reviewing reports from Delhi.,0
A conspiracy article says radio towers above Bengaluru can secretly control the weather.,1
Officials in Delhi approved a public health campaign following a public consultation.,0
Officials in Bengaluru approved a renewable energy guideline following a public consultation.,0
Officials in Pune approved a bus modernization program following a public consultation.,0
Officials in Kolkata approved a crop insurance revision following a public consultation.,0
Social media users falsely claim a public health campaign will let citizens cure every disease overnight.,1
A viral post claims that digital literacy can instantly erase memory in seconds using magnetic bracelets.,1
A field team in Delhi confirmed progress on digital literacy with support from national science agency.,0
A viral post claims that crop yields can instantly levitate heavy vehicles using secret satellites.,1
299 researchers from national science agency published a study about air quality in Kolkata.,0
An anonymous blog says Bengaluru is hiding radio towers that will levitate heavy vehicles.,1
The public safety office released updated figures on water conservation for the month of February.,0
Officials in Mumbai approved a crop insurance revision following a public consultation.,0
A fabricated report insists that education board proved vaccination coverage was created by magnetic bracelets.,1
A conspiracy article says mystery frequency boxes above Hyderabad can secretly make people immortal.,1
A field team in Ahmedabad confirmed progress on water conservation with support from national science agency.,0
An anonymous blog says Delhi is hiding radio towers that will make people immortal.,1
Social media users falsely claim a flood relief package will let citizens erase memory in seconds overnight.,1
The transport department announced a school scholarship plan after reviewing reports from Bengaluru.,0
An anonymous blog says Hyderabad is hiding silver water that will erase memory in seconds.,1
An anonymous blog says Ahmedabad is hiding silver water that will change human DNA.,1
The transport department released updated figures on waste management for the month of March.,0
An anonymous blog says Ahmedabad is hiding hidden moon crystals that will change human DNA.,1
Officials in Pune approved a school scholarship plan following a public consultation.,0
A field team in Ahmedabad confirmed progress on waste management with support from public safety office.,0
A viral post claims that rainfall patterns can instantly control the weather using secret satellites.,1
