text,label
"The city council approved a new public transportation budget after a week of debate.",0
"A viral post claims that drinking silver water makes humans immortal.",1
"Researchers published a peer-reviewed study on improving crop yields in dry regions.",0
"An online article says the moon landing was filmed inside a shopping mall basement.",1
"The health ministry released updated vaccination statistics for the quarter.",0
"A fabricated report says a celebrity adopted a dragon from a secret island.",1
"Local officials opened a new flood relief center for affected families.",0
"A false story claims that Wi-Fi signals can instantly change human DNA.",1
"The education department announced new scholarships for engineering students.",0
"A conspiracy blog insists that clouds are controlled by hidden radio towers.",1
